iter	RMSE
0	0.3584261396
1	0.3471960023
2	0.3367335419
3	0.3269928484
4	0.316951699
5	0.3074660713
6	0.2985542461
7	0.2901785762
8	0.2822588783
9	0.2746437975
10	0.2678422831
11	0.2609279123
12	0.2546760058
13	0.2486566383
14	0.2432147053
15	0.2377800713
16	0.2325315223
17	0.2276539716
18	0.2230744373
19	0.2187758596
20	0.2145151431
21	0.210682684
22	0.2070184617
23	0.2033358194
24	0.1999748762
25	0.1967176129
26	0.1935999631
27	0.1907052323
28	0.1879391161
29	0.1854168311
30	0.1828839304
31	0.1804977181
32	0.1782450106
33	0.1760854344
34	0.1738699946
35	0.1719628268
36	0.1699156369
37	0.1680377326
38	0.1662614738
39	0.1645568789
40	0.1629268848
41	0.1613367769
42	0.159816454
43	0.1584270152
44	0.1570212448
45	0.1557344924
46	0.1545241761
47	0.1533733548
48	0.1521592192
49	0.150942611
50	0.1499413619
51	0.148819836
52	0.1478833033
53	0.1469030577
54	0.1460411483
55	0.1452367418
56	0.1442627635
57	0.1435051957
58	0.1426498296
59	0.1419414778
60	0.1411260227
61	0.1403248888
62	0.1396880322
63	0.1389260393
64	0.1383861936
65	0.1378089051
66	0.1371379345
67	0.1366729696
68	0.136193787
69	0.1357631654
70	0.135206914
71	0.134658402
72	0.1342299851
73	0.1337170422
74	0.1332334495
75	0.1328210443
76	0.132334164
77	0.1318573991
78	0.131496602
79	0.1310978991
80	0.1306941596
81	0.1303236631
82	0.1300590929
83	0.1297902431
84	0.1295342808
85	0.1292963517
86	0.1289563483
87	0.1286359582
88	0.1283958528
89	0.1281692377
90	0.1278936774
91	0.1277105883
92	0.1275454184
93	0.1272981903
94	0.1271106325
95	0.1268657389
96	0.126628632
97	0.1264146667
98	0.1262017896
99	0.1259791776
100	0.1258266678
101	0.1256645792
102	0.1255170881
103	0.1253322433
104	0.1252046599
105	0.1250940731
106	0.1249404692
107	0.1248388424
108	0.1247433368
109	0.1246370873
110	0.1244969415
111	0.1244126156
112	0.1243340447
113	0.1242380817
114	0.1241554658
115	0.1240750315
116	0.123934634
117	0.1238163775
118	0.1237118719
119	0.1236497213
120	0.1235858041
121	0.1234773484
122	0.1234214038
123	0.1233249724
124	0.1232415561
125	0.1231598153
126	0.1231064845
127	0.1230631031
128	0.1229819346
129	0.1229343369
130	0.1228853515
131	0.1228004567
132	0.1227224787
133	0.1226777666
134	0.1226358737
135	0.1225709869
136	0.1224951443
137	0.1224426111
138	0.1224088506
139	0.1223742899
140	0.122325128
141	0.1222882942
142	0.1222495934
143	0.1222180123
144	0.122183262
145	0.1221530442
146	0.1221310475
147	0.1220892384
148	0.1220307684
149	0.1219740837
150	0.1219379123
151	0.1219151195
152	0.1218934253
153	0.1218676626
154	0.1218253928
155	0.1218114142
156	0.1217855628
157	0.1217504779
158	0.1217300761
159	0.1217080621
160	0.1216909811
161	0.1216600312
162	0.1216268439
163	0.121603382
164	0.1215702067
165	0.1215437189
166	0.1215103105
167	0.1214864351
168	0.1214678498
169	0.1214548127
170	0.1214239362
171	0.1213939927
172	0.1213755489
173	0.1213622514
174	0.1213396209
175	0.1213146907
176	0.1212872126
177	0.1212707408
178	0.1212600206
179	0.1212443603
180	0.1212350105
181	0.121211081
182	0.1212019714
183	0.1211779964
184	0.1211609075
185	0.1211414681
186	0.1211260993
187	0.1211002435
188	0.121091865
189	0.1210684775
190	0.1210490901
191	0.1210329805
192	0.1210229049
193	0.1210069003
194	0.12099656
195	0.1209854939
196	0.120974967
197	0.1209643369
198	0.1209452771
199	0.1209341663
200	0.1209218741
201	0.120901667
202	0.1208923082
203	0.1208827422
204	0.1208689283
205	0.1208579767
206	0.1208509689
207	0.1208404916
208	0.1208303517
209	0.120826371
