iter	Passed	Remaining
0	62	62017
1	68	34012
2	75	24982
3	81	20351
4	87	17475
5	92	15387
6	98	14024
7	105	13115
8	111	12300
9	117	11597
10	123	11082
11	128	10569
12	135	10282
13	141	9944
14	146	9587
15	150	9269
16	157	9100
17	163	8934
18	172	8898
19	181	8871
20	189	8840
21	198	8818
22	207	8818
23	218	8903
24	227	8879
25	237	8889
26	246	8866
27	257	8947
28	265	8875
29	271	8767
30	278	8697
31	285	8639
32	291	8546
33	296	8436
34	304	8392
35	310	8306
36	317	8270
37	323	8197
38	329	8115
39	336	8066
40	341	7981
41	347	7925
42	353	7859
43	357	7777
44	363	7722
45	369	7665
46	374	7596
47	381	7560
48	386	7502
49	392	7462
50	398	7410
51	403	7355
52	409	7317
53	414	7261
54	419	7215
55	427	7201
56	434	7185
57	440	7148
58	446	7128
59	452	7088
60	459	7072
61	465	7046
62	470	7002
63	476	6968
64	481	6925
65	487	6898
66	493	6866
67	498	6829
68	504	6805
69	509	6772
70	515	6743
71	522	6733
72	528	6710
73	535	6696
74	542	6688
75	547	6660
76	553	6639
77	560	6631
78	567	6616
79	574	6612
80	581	6601
81	588	6591
82	594	6564
83	599	6532
84	604	6506
85	609	6477
86	616	6468
87	622	6451
88	628	6429
89	633	6408
90	641	6406
91	646	6378
92	651	6351
93	656	6325
94	662	6309
95	669	6302
96	673	6273
97	679	6251
98	685	6239
99	694	6246
100	701	6239
101	707	6233
102	714	6218
103	723	6229
104	728	6208
105	733	6183
106	740	6178
107	745	6159
108	751	6141
109	756	6123
110	762	6105
111	768	6091
112	773	6069
113	779	6059
114	786	6049
115	796	6066
116	807	6095
117	817	6106
118	826	6117
119	833	6114
120	842	6121
121	853	6139
122	861	6139
123	869	6145
124	881	6173
125	891	6181
126	899	6181
127	906	6173
128	913	6166
129	917	6142
130	924	6131
131	929	6113
132	936	6102
133	940	6080
134	946	6066
135	953	6060
136	960	6048
137	964	6025
138	969	6005
139	974	5985
140	979	5969
141	985	5954
142	991	5944
143	996	5925
144	1005	5929
145	1013	5928
146	1021	5926
147	1029	5926
148	1035	5915
149	1041	5902
150	1048	5895
151	1054	5882
152	1058	5861
153	1062	5837
154	1068	5823
155	1072	5801
156	1077	5785
157	1087	5792
158	1093	5784
159	1100	5779
160	1107	5769
161	1115	5769
162	1121	5757
163	1129	5757
164	1134	5739
165	1140	5727
166	1146	5720
167	1152	5707
168	1160	5708
169	1164	5687
170	1170	5673
171	1176	5665
172	1182	5654
173	1187	5638
174	1194	5631
175	1202	5630
176	1207	5613
177	1212	5599
178	1217	5582
179	1224	5576
180	1230	5566
181	1235	5555
182	1240	5537
183	1244	5520
184	1250	5508
185	1257	5502
186	1265	5499
187	1269	5481
188	1273	5466
189	1280	5457
190	1285	5445
191	1292	5437
192	1299	5431
193	1305	5423
194	1313	5420
195	1319	5412
196	1324	5398
197	1333	5400
198	1340	5393
199	1346	5384
200	1354	5384
201	1361	5377
202	1366	5363
203	1372	5356
204	1381	5357
205	1388	5350
206	1393	5339
207	1399	5327
208	1407	5325
209	1412	5314
210	1420	5312
211	1424	5295
212	1433	5296
213	1440	5292
214	1447	5283
215	1452	5270
216	1456	5253
217	1461	5244
218	1468	5237
219	1474	5228
220	1479	5213
221	1481	5191
222	1486	5180
223	1493	5175
224	1498	5161
225	1504	5151
226	1509	5139
227	1514	5128
228	1518	5114
229	1525	5106
230	1529	5091
231	1534	5080
232	1542	5076
233	1549	5071
234	1557	5071
235	1563	5061
236	1569	5052
237	1571	5031
238	1578	5024
239	1583	5014
240	1590	5009
241	1594	4995
242	1598	4979
243	1602	4964
244	1607	4954
245	1614	4948
246	1621	4942
247	1626	4932
248	1632	4925
249	1638	4914
250	1645	4909
251	1649	4897
252	1655	4887
253	1658	4872
254	1662	4856
255	1664	4837
256	1672	4835
257	1676	4820
258	1682	4814
259	1687	4804
260	1694	4796
261	1698	4784
262	1703	4773
263	1708	4763
264	1712	4750
265	1718	4740
266	1722	4727
267	1727	4717
268	1729	4700
269	1734	4688
270	1737	4673
271	1741	4660
272	1744	4645
273	1752	4643
274	1754	4626
275	1759	4616
276	1766	4610
277	1769	4596
278	1777	4594
279	1780	4578
280	1784	4565
281	1787	4552
282	1794	4545
283	1799	4537
284	1803	4525
285	1807	4511
286	1813	4506
287	1819	4497
288	1823	4487
289	1829	4478
290	1836	4474
291	1840	4461
292	1845	4453
293	1851	4447
294	1855	4434
295	1863	4431
296	1866	4418
297	1873	4412
298	1880	4408
299	1884	4396
300	1887	4383
301	1893	4376
302	1900	4371
303	1906	4365
304	1912	4358
305	1916	4345
306	1920	4335
307	1926	4327
308	1930	4316
309	1938	4314
310	1943	4305
311	1949	4297
312	1957	4297
313	1962	4286
314	1965	4275
315	1972	4269
316	1976	4257
317	1979	4245
318	1983	4234
319	1986	4222
320	1992	4215
321	1999	4209
322	2004	4201
323	2007	4189
324	2011	4177
325	2014	4165
326	2020	4157
327	2023	4146
328	2027	4134
329	2035	4131
330	2039	4122
331	2043	4111
332	2048	4102
333	2051	4090
334	2059	4087
335	2066	4083
336	2072	4077
337	2077	4068
338	2081	4059
339	2086	4049
340	2090	4039
341	2095	4032
342	2099	4021
343	2104	4012
344	2112	4011
345	2118	4004
346	2125	4000
347	2129	3990
348	2138	3989
349	2145	3984
350	2152	3979
351	2158	3974
352	2164	3966
353	2168	3957
354	2172	3947
355	2177	3939
356	2185	3935
357	2192	3931
358	2197	3923
359	2203	3917
360	2210	3912
361	2217	3908
362	2223	3900
363	2230	3896
364	2233	3885
365	2239	3880
366	2246	3874
367	2251	3867
368	2257	3860
369	2260	3849
370	2264	3838
371	2267	3828
372	2275	3824
373	2280	3816
374	2283	3806
375	2289	3799
376	2296	3794
377	2299	3784
378	2305	3778
379	2310	3770
380	2314	3760
381	2318	3751
382	2324	3744
383	2331	3740
384	2337	3734
385	2341	3725
386	2347	3718
387	2352	3711
388	2361	3708
389	2367	3703
390	2375	3699
391	2384	3697
392	2391	3692
393	2395	3684
394	2398	3674
395	2405	3669
396	2410	3661
397	2414	3652
398	2419	3644
399	2425	3637
400	2429	3629
401	2433	3620
402	2438	3612
403	2444	3605
404	2448	3597
405	2454	3591
